INSTNM	LOCALE	LATITUDE	LONGITUDE
The Art Institute of California-Argosy University San Francisco	11	37.804	-122.4172
Loyola Marymount University	11	33.9706	-118.4157
Lu Ross Academy	12	34.278	-119.294
Manchester Beauty College	11	36.7929	-119.7912
Tulare Beauty College	22	36.2041	-119.3679
Lyles Fresno College of Beauty	11	36.8363	-119.7737
Lytles Redwood Empire Beauty College Inc	21	38.5086	-122.7585
MTI Business College Inc	11	38.0073	-121.3085
MTI College	21	38.6614	-121.3426
Kaplan College-Sacramento	21	38.6445	-121.3805
Kaplan College-San Diego	11	32.8217	-117.133
Kaplan College-Vista	21	33.1724	-117.2208
College of Marin	21	37.955	-122.5499
Marinello Schools of Beauty-Los Angeles	11	34.0275	-118.2199
Marymount California University	21	33.7346	-118.3334
Mendocino College	41	39.1912	-123.229
Menlo College	21	37.4529	-122.1814
Merced College	13	37.3353	-120.4767
Merritt College	11	37.7891	-122.1673
Mills College	11	37.7826	-122.1879
MiraCosta College	21	33.1912	-117.3023
Marinello Schools of Beauty-San Francisco	11	37.7795	-122.4104
Mission College	12	37.3913	-121.9822
Modern Beauty Academy	12	34.1954	-119.1814
Kaplan College-North Hollywood	11	34.1827	-118.3961
Modesto Junior College	12	37.652	-121.0097
Moler Barber College	11	37.8268	-122.2651
Monterey Institute of International Studies	22	36.5998	-121.8968
Monterey Peninsula College	22	36.5908	-121.8858
Moorpark College	22	34.3	-118.8366
Mt San Antonio College	21	34.0438	-117.8437
Mount St Mary's College	11	34.0821	-118.4805
Mt San Jacinto Community College District	22	33.8074	-116.9701
Mueller College	11	32.7639	-117.1643
Musicians Institute	11	34.1015	-118.3377
Napa Valley College	13	38.2725	-122.2726
Everest College-San Francisco	11	37.7845	-122.4048
Everest College-Reseda	11	34.2008	-118.5267
Everest College-LA Wilshire	11	34.0613	-118.2993
Everest College-San Jose	11	37.3028	-121.9507
Everest College-Gardena	13	33.8931	-118.2929
Everest College-Alhambra	21	34.0802	-118.1487
Everest College-San Bernardino	12	34.0598	-117.2822
The National Hispanic University	11	37.3591	-121.8159
National Holistic Institute	21	37.8419	-122.2877
National University	11	32.9095	-117.2442
Newschool of Architecture and Design	11	32.7133	-117.1533
Newberry School of Beauty	11	34.2575	-118.4995
Adrian's College of Beauty Modesto	12	37.6778	-120.9928
North-West College-Pomona	21	34.0621	-117.751
North-West College-West Covina	21	34.0721	-117.9496
North-West College-Pasadena	12	34.1469	-118.1393
Notre Dame de Namur University	21	37.5175	-122.2846
Occidental College	11	34.1262	-118.2108
Oceanside College of Beauty	21	33.1789	-117.3653
Ohlone College	21	37.528	-121.9146
Orange Coast College	12	33.6702	-117.9114
Otis College of Art and Design	11	33.9566	-118.4166
Oxnard College	12	34.1649	-119.1555
Hope International University	21	33.8762	-117.8857
Concorde Career College-San Diego	11	32.7041	-117.1019
Palo Alto University	41	37.3833	-122.186
Pacific Lutheran Theological Seminary	12	37.8982	-122.2602
Pacific Oaks College	12	34.1515	-118.1609
Pacific School of Religion	12	37.8766	-122.2633
Pacific States University	11	34.0617	-118.2996
Pacific Union College	41	38.5741	-122.4496
University of the Pacific	11	37.9806	-121.3073
Palo Verde College	42	33.6615	-114.6517
Palomar College	21	33.1502	-117.1817
Paris Beauty College	21	37.9722	-122.0435
Pasadena City College	12	34.1446	-118.1182
Pepperdine University	21	34.0419	-118.7077
Pitzer College	21	34.1034	-117.7059
Platt College-San Diego	11	32.7637	-117.0635
Point Loma Nazarene University	11	32.7133	-117.2512
Pomona College	21	34.0983	-117.7119
Porterville College	13	36.0493	-119.0144
Westwood College-South Bay	11	33.8518	-118.2898
Professional Institute of Beauty	21	34.075	-118.038
Santa Ana College	11	33.7592	-117.8884
Pardee RAND Graduate School	13	34.01	-118.4905
Shasta School of Cosmetology	13	40.5969	-122.387
University of Redlands	13	34.0636	-117.1638
College of the Redwoods	41	40.6967	-124.1951
Salon Success Academy-Upland	21	34.1084	-117.6311
Salon Success Academy-Corona	12	33.8832	-117.5135
Rio Hondo College	21	34.0199	-118.0333
Riverside City College	11	33.9715	-117.3805
Argosy University-San Francisco Bay Area	21	37.7812	-122.2675
Rosemead Beauty School	21	34.0808	-118.0828
Dongguk University-Los Angeles	11	34.0662	-118.2899
Sacramento City College	11	38.5419	-121.4917
Saddleback College	21	33.5519	-117.6649
Samuel Merritt University	11	37.82	-122.2669
San Diego City College	11	32.7189	-117.1516
Golf Academy of America-Carlsbad	12	33.1229	-117.2834
San Diego Mesa College	11	32.8049	-117.1691
San Diego Miramar College	11	32.9095	-117.1209
San Diego State University	11	32.7753	-117.0712
University of San Diego	11	32.7714	-117.1887
San Francisco Art Institute	11	37.8036	-122.417
San Francisco Conservatory of Music	11	37.7753	-122.4201
San Francisco State University	11	37.7213	-122.4779
San Francisco Theological Seminary	21	37.9696	-122.5643
University of San Francisco	11	37.7756	-122.451
San Joaquin College of Law	21	36.824	-119.6978
San Joaquin Delta College	11	37.9946	-121.3172
San Joaquin Valley College-Visalia	41	36.328	-119.385
San Joaquin Valley College-Bakersfield	11	35.3528	-119.0623
William Jessup University	41	38.8197	-121.2923
San Jose City College	11	37.3163	-121.9297
San Jose State University	11	37.3352	-121.8812
